Scientific name,Genus,Species,Latitude,Longitude
Erimystax_dismilis,Erimystax,dismilis,42.0925,-78.50584
Erimystax_dismilis,Erimystax,dismilis,42.0861,-78.6377
Erimystax_dismilis,Erimystax,dismilis,41.83139,-79.20472
Erimystax_dismilis,Erimystax,dismilis,41.4775,-79.462776
Erimystax_dismilis,Erimystax,dismilis,41.4775,-79.462776
Erimystax_dismilis,Erimystax,dismilis,41.4775,-79.462776
Erimystax_dismilis,Erimystax,dismilis,41.4775,-79.462776
Erimystax_dismilis,Erimystax,dismilis,41.4775,-79.462776
Erimystax_dismilis,Erimystax,dismilis,40.88361,-79.48389
Erimystax_dismilis,Erimystax,dismilis,40.88361,-79.48389
Erimystax_dismilis,Erimystax,dismilis,40.88361,-79.48389
Erimystax_dismilis,Erimystax,dismilis,41.771,-80.109
Erimystax_dismilis,Erimystax,dismilis,41.7714,-80.1094
Erimystax_dismilis,Erimystax,dismilis,38.615276,-80.54139
Erimystax_dismilis,Erimystax,dismilis,38.615276,-80.54139
Erimystax_dismilis,Erimystax,dismilis,38.615276,-80.54139
Erimystax_dismilis,Erimystax,dismilis,38.864723,-80.695
Erimystax_dismilis,Erimystax,dismilis,38.864723,-80.695
Erimystax_dismilis,Erimystax,dismilis,38.864723,-80.695
Erimystax_dismilis,Erimystax,dismilis,38.663418,-80.70218
Erimystax_dismilis,Erimystax,dismilis,40.2861,-80.8722
Erimystax_dismilis,Erimystax,dismilis,40.2861,-80.8722
Erimystax_dismilis,Erimystax,dismilis,40.2861,-80.8722
Erimystax_dismilis,Erimystax,dismilis,40.2861,-80.8722
Erimystax_dismilis,Erimystax,dismilis,38.58662,-80.93543
Erimystax_dismilis,Erimystax,dismilis,38.586617,-80.93543
Erimystax_dismilis,Erimystax,dismilis,38.5,-81.025
Erimystax_dismilis,Erimystax,dismilis,38.5,-81.025
Erimystax_dismilis,Erimystax,dismilis,38.5,-81.025
Erimystax_dismilis,Erimystax,dismilis,38.530556,-81.026665
Erimystax_dismilis,Erimystax,dismilis,38.530556,-81.026665
Erimystax_dismilis,Erimystax,dismilis,38.530556,-81.026665
Erimystax_dismilis,Erimystax,dismilis,38.532784,-81.030815
Erimystax_dismilis,Erimystax,dismilis,38.53278,-81.03082
Erimystax_dismilis,Erimystax,dismilis,38.48958,-81.35058
Erimystax_dismilis,Erimystax,dismilis,38.489582,-81.350586
Erimystax_dismilis,Erimystax,dismilis,40.2764,-81.6503
Erimystax_dismilis,Erimystax,dismilis,40.2764,-81.6503
Erimystax_dismilis,Erimystax,dismilis,36.916943,-81.674446
Erimystax_dismilis,Erimystax,dismilis,36.916943,-81.674446
Erimystax_dismilis,Erimystax,dismilis,36.916943,-81.674446
Erimystax_dismilis,Erimystax,dismilis,40.2914,-81.7967
Erimystax_dismilis,Erimystax,dismilis,40.2914,-81.7967
Erimystax_dismilis,Erimystax,dismilis,40.2361,-81.872
Erimystax_dismilis,Erimystax,dismilis,40.2361,-81.872
Erimystax_dismilis,Erimystax,dismilis,40.1361,-81.9458
Erimystax_dismilis,Erimystax,dismilis,40.1361,-81.9458
Erimystax_dismilis,Erimystax,dismilis,36.75,-82.033
Erimystax_dismilis,Erimystax,dismilis,36.75,-82.033
Erimystax_dismilis,Erimystax,dismilis,40.3845,-82.1561
Erimystax_dismilis,Erimystax,dismilis,40.3845,-82.1561
Erimystax_dismilis,Erimystax,dismilis,40.3845,-82.1561
Erimystax_dismilis,Erimystax,dismilis,40.3845,-82.1561
Erimystax_dismilis,Erimystax,dismilis,40.3653,-82.1572
Erimystax_dismilis,Erimystax,dismilis,40.3653,-82.1572
Erimystax_dismilis,Erimystax,dismilis,40.4075,-82.1864
Erimystax_dismilis,Erimystax,dismilis,40.4075,-82.1864
Erimystax_dismilis,Erimystax,dismilis,40.3983,-82.2792
Erimystax_dismilis,Erimystax,dismilis,40.3983,-82.2792
Erimystax_dismilis,Erimystax,dismilis,36.7014,-82.3073
Erimystax_dismilis,Erimystax,dismilis,36.5539,-82.6147
Erimystax_dismilis,Erimystax,dismilis,36.5539,-82.6147
Erimystax_dismilis,Erimystax,dismilis,36.6661,-82.6342
Erimystax_dismilis,Erimystax,dismilis,36.6661,-82.6342
Erimystax_dismilis,Erimystax,dismilis,36.66195,-82.65694
Erimystax_dismilis,Erimystax,dismilis,36.65944,-82.67223
Erimystax_dismilis,Erimystax,dismilis,36.65694,-82.73666
Erimystax_dismilis,Erimystax,dismilis,36.65694,-82.73666
Erimystax_dismilis,Erimystax,dismilis,36.65694,-82.73666
Erimystax_dismilis,Erimystax,dismilis,36.65694,-82.73666
Erimystax_dismilis,Erimystax,dismilis,36.65694,-82.73666
Erimystax_dismilis,Erimystax,dismilis,36.6489,-82.7492
Erimystax_dismilis,Erimystax,dismilis,36.4608,-82.8489
Erimystax_dismilis,Erimystax,dismilis,36.4608,-82.8489
Erimystax_dismilis,Erimystax,dismilis,36.4336,-82.8797
Erimystax_dismilis,Erimystax,dismilis,36.4336,-82.8797
Erimystax_dismilis,Erimystax,dismilis,39.8881,-82.9047
Erimystax_dismilis,Erimystax,dismilis,39.8881,-82.9047
Erimystax_dismilis,Erimystax,dismilis,39.8678,-82.9317
Erimystax_dismilis,Erimystax,dismilis,39.8678,-82.9317
Erimystax_dismilis,Erimystax,dismilis,36.5728,-82.9392
Erimystax_dismilis,Erimystax,dismilis,36.5728,-82.9392
Erimystax_dismilis,Erimystax,dismilis,39.58,-82.9544
Erimystax_dismilis,Erimystax,dismilis,39.58,-82.9544
Erimystax_dismilis,Erimystax,dismilis,39.6045,-82.9552
Erimystax_dismilis,Erimystax,dismilis,39.6045,-82.9552
Erimystax_dismilis,Erimystax,dismilis,39.6045,-82.9555
Erimystax_dismilis,Erimystax,dismilis,39.6045,-82.9555
Erimystax_dismilis,Erimystax,dismilis,39.6028,-82.9556
Erimystax_dismilis,Erimystax,dismilis,39.5978,-82.9556
Erimystax_dismilis,Erimystax,dismilis,39.5978,-82.9556
Erimystax_dismilis,Erimystax,dismilis,39.6028,-82.9556
Erimystax_dismilis,Erimystax,dismilis,39.6042,-82.9561
Erimystax_dismilis,Erimystax,dismilis,39.6042,-82.9561
